actor_id,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Target
8.90E+17,0.903998411,0.997674895,0.894883502,0.672684683,0.995430028,1
8.49E+17,0.796745817,0.11071053,0.275560326,0.286484015,0.428098916,1
8.50E+17,0.875234835,0.651180151,0.161396026,0.485822215,0.737339359,1
7.17E+17,0.961128009,0.781616921,0.692881401,0.124517789,0.89437465,1
25182587,0.953345295,0.660953572,0.424460888,0.406335731,0.767069359,1
1018389702,0.909211846,0.792672696,0.559935213,0.635749505,0.873886007,1
9.65E+17,0.864278369,0.018492405,0.430856283,0.009428436,0.435648245,1
7.99E+17,0.845988795,0.39605578,0.634043597,0.359576505,0.635996274,1
455552372,0.904605253,0.690750353,0.45905065,0.427280286,0.770845515,1
340901222,0.887342295,0.407058614,0.572075106,0.197882989,0.462969541,1
2726416084,0.961041883,0.353014071,0.766206147,0.846128927,0.565964441,1
607460306,0.762822357,0.047170992,0.106647164,0.022426337,0.143137624,1
347584802,0.953000434,0.723553901,0.732550929,0.433781553,0.790444795,1
1101617222,0.88476257,0.434007597,0.533727935,0.124017268,0.718777268,1
8.79E+17,0.883317278,0.387143972,0.585848958,0.316060061,0.815675188,1
7.83E+17,0.242413795,0.547337496,0.236610235,0.487855514,0.504252105,1
7.14E+17,0.944068794,0.634044884,0.82522675,0.596160781,0.811328446,1
47663197,0.974075015,0.623740061,0.594836686,0.137534173,0.844503099,1
33378935,0.964361834,0.677693575,0.803557036,0.585612206,0.804902938,1
311171623,0.986718005,0.853802072,0.34499996,0.898578257,0.765591238,1
2580947641,0.970207306,0.412083358,0.369682314,0.493894938,0.554511019,1
9.57E+17,0.944186235,0.969812021,0.803233529,0.832156354,0.898124697,1
7.93E+17,0.953415306,0.657579395,0.635151387,0.310476961,0.859517401,1
2920090255,0.839636865,0.275714731,0.611294248,0.839738214,0.474501955,1
60905156,0.909759023,0.685426761,0.654733381,0.433215342,0.675403832,1
51150417,0.865663158,0.636127703,0.828754189,0.940580341,0.679556912,1
37650763,0.863383657,0.981790349,0.81432222,0.648579521,0.969657177,1
2927051727,0.763365173,0.953707713,0.808808637,0.731021991,0.56774954,1
167012826,0.941234751,0.937782905,0.895619974,0.894880262,0.925372945,1
9.39E+17,0.675019695,0.726757867,0.233351306,0.486954419,0.851095602,1
8.34E+17,0.904233879,0.909665511,0.72514284,0.377467858,0.970490376,1
518652099,0.965674524,0.714897893,0.897599535,0.41090295,0.85024155,1
477532742,0.837861313,0.51474546,0.413251698,0.563417867,0.740826609,1
207752482,0.894120554,0.368321493,0.623853503,0.478767289,0.489398151,1
1961379727,0.847093249,0.364964648,0.190365885,0.75216601,0.686755532,1
16952207,0.983019191,0.78735498,0.527747171,0.145295012,0.850859475,1
15146870,0.994833036,0.789152456,0.745089726,0.222409042,0.908221837,1
1.01E+18,0.972640064,0.573455906,0.419919844,0.259385841,0.795054988,1
9.07E+17,0.978873356,0.677502382,0.594415985,0.293830892,0.891558107,1
8.94E+17,0.923274785,0.874681408,0.816895091,0.54853556,0.872054139,1
569009372,0.987367381,0.809418638,0.658303083,0.089934586,0.918388049,1
49380102,0.899744365,0.880624631,0.798868835,0.260900397,0.895163774,1
4717069350,0.995548822,0.763222747,0.787842102,0.796776116,0.801839181,1
26900055,0.963442652,0.949319484,0.917384014,0.072703955,0.99161714,1
1675613094,0.952525832,0.817028239,0.854222414,0.619855815,0.922146648,1
9.35E+17,0.959667508,0.727798151,0.396428587,0.665780255,0.764743343,1
8.17E+17,0.881823191,0.741262433,0.282595738,0.167648342,0.89450846,1
766753537,0.979438847,0.420674952,0.672661471,0.500369365,0.706336949,1
7.36E+17,0.978683437,0.685592042,0.869483527,0.184634284,0.866667371,1
395048148,0.993791448,0.633972801,0.780642503,0.293274531,0.788775869,1
2261293071,0.961949805,0.565363503,0.542801478,0.165919538,0.895189528,1
1340750281,0.893967525,0.498549705,0.689472436,0.145278831,0.888063659,1
1.02E+18,0.688412172,0.068538439,0.35179948,0.126011695,0.235107495,1
844562467,0.673621948,0.713567255,0.793194641,0.783212789,0.83936383,1
8.27E+17,0.971247238,0.254644859,0.751301905,0.122890808,0.773244356,1
8.28E+17,0.844351128,0.495145958,0.274676183,0.441579137,0.654092413,1
8.04E+17,0.909398005,0.83024843,0.832555949,0.521136743,0.814451727,1
3254052423,0.952949179,0.507276166,0.318661983,0.430749966,0.660922581,1
3011413681,0.95065551,0.840017993,0.386827448,0.66851922,0.830300749,1
21939082,0.965283546,0.829866671,0.876153484,0.473534027,0.865003846,1
19085676,0.968776049,0.660456541,0.506069344,0.532892894,0.687047181,1
154072800,0.949825609,0.937092261,0.930859637,0.259283782,0.959295663,1
8.13E+17,0.997466502,0.616964158,0.699237731,0.036031808,0.844446278,1
443623884,0.807132576,0.10788223,0.419414573,0.167748352,0.77348552,1
1720985276,0.96175365,0.453075346,0.661460809,0.720995694,0.419249725,1
9.13E+17,0.968551431,0.658391319,0.509989011,0.695774837,0.913305349,1
7.96E+17,0.897060156,0.802660323,0.77258382,0.910611561,0.870603087,1
7.16E+17,0.948688446,0.622965161,0.578498823,0.305572502,0.884188318,1
55672701,0.916935391,0.740549306,0.782706962,0.354915267,0.918909875,1
3446851336,0.841390967,0.906527184,0.812762142,0.697293324,0.876338845,1
243937484,0.963449829,0.395982182,0.567861214,0.279769334,0.74428184,1
2255983068,0.934108221,0.709354039,0.653542393,0.505783608,0.8683862,1
8.75E+17,0.962984294,0.657777563,0.256521627,0.425783009,0.820454395,1
